ORQ1,GEQ1,GEQ2,ORQ2,ORQ3,GEQ3,GEQ4,ORQ4,ORQ5,GEQ5,GEQ6,ORQ6,ORQ7,GEQ7,GEQ8,ORQ8,ORQ9,GEQ9,GEQ10,ORQ10,ORQ11,GEQ11,GEQ12,ORQ12,ORQ13,GEQ13,GEQ14,ORQ14,ORQ15,GEQ15,GEQ16,ORQ16,ORQ17,GEQ17,GEQ18,ORQ18,ORQ19,GEQ19,GEQ20,ORQ20,OPQ1,OPQ2,OPQ3,OPQ4,OPQ5,OPQ6,OPQ7,OPQ8,OPQ9,OPQ10,OPQ11,OPQ12,OPQ13,OPQ14,OPQ15
Question: Why couldn't Alice get a doll as a child?,Question: How did the writer feel when Santa Claus turned to leave?,Question: How did Jocelyn disappear?,Question: What was Temar doing when the police were searching for Jocelyn?,Question: Which places will you go in Australia if you are interested in music?,Question: What can you do if you come to Australia without seeing Sydney?,"Question: What will the future look like for today's teachers, classrooms, and textbooks?","Question: Compared with classical ITS, developed ITS can",Question: What does Sarah Gontijo think it takes to learn a new language effectively?,Question: What does the application of Hello-Hello World bring convenience to?,Question: What is the most important aspect to be followed in the early stage after a earthquake?,Question: How many buoys would at least be needed for global tsunami warnings within half an hour?,Question: What can be concluded from the article?,Question: What makes Melbourne different from other Australian cities?,Question: How does Roger Pielke Jr. feel about the report?,Question: What is the finding of the Global Humanitarian Forum?,Question: What was the difficulty that passengers met with on the very first day of the opening?,Question: What was the problem with the new terminal?,Question: How many students are using Facebook daily according to the study?,Question: Why did Daisy Jones deactivate her account?,Question: Why did Jordan Romero choose to climb from the Chinese side of Mount Everest?,Question: What did Jordan Romero want to do on Mount Everest?,Question: What is the most likely reason why some people suffer from hair loss?,Question: What is suggested by health experts when one suffers from a sudden increase in hair loss?,Question: What theory is the Aberdeen team's study based on?,Question: What is the key to the possibility of alien life existing on a distant planet?,Question: What causes scintillation?,Question: What can you see when you drop a rock into the water?,Question: What made Chinese young people forget about their phones?,Question: Why do many young people like to colour the book?,Question: What do they drink a lot?,Question: What is butter made from?,Question: Which lesson was the most boring of all before Karl arrived?,Question: Why did Karl like the new maths teacher?,Question: What is Judy's birthday?,Question: What is Judy's present?,Question: What was the special thing Li Ruyan did last summer?,Question: What did Li Ruyan do in the summer?,Question: What did Ko Chen-tung do in Beijing?,Question: What made Ko become famous?,How would you rate the difficulty of the test?,How often were there two good questions?,How often was there one good and one bad question?,How often were there two bad questions?,How often did you recognize that there was an AI-generated quiz during the test?,One or more of the AI-generated quizzes may be imperfect. How did this affect your overall test experience?,Name three strengths of the AI generated quizzes,Name three limitations of the AI generated quizzes,AI can have a positive impact on the educational domain,I would use Automatic Quiz Generation to test my knowledge while learning,Automatic Quiz Generation could help teachers to simplify the process of creating tests,Research on AI-powered education is important,List three reasons why we would support research into AI-powered education.,"Do you see any ethical or societal risks, or other barriers to successful deployment of AI in education?",Do you have any other feedback that you would like to share?
Because her family was very poor.,This question is unanswerable.,She disappeared when she was getting her bike.,He and his friends were helping his neighbor moving a couch.,Byron Bay and Sydney,This question is unanswerable.,This question is unanswerable.,make different facial expressions,A language learning environment.,Connecting with native speakers.,The educational work.,75,This question is unanswerable.,This question is unanswerable.,He is strongly against it.,This question is unanswerable.,This question is unanswerable.,This question is unanswerable.,About 65% of them.,Spending much time on Facebook affected her study,China allows climbers of any age to climb Mt. Everest.,To pick a small piece of rock from the top of the world and wear it in a necklace.,A medical condition.,Going to see a doctor.,Planets can receive heat generated deep inside the planet.,Water will exist underground as long as the planet is not too hot or too cold.,Air movements in the earth's atmosphere.,The rock becomes unclear.,A book.,Because it is a way to relax themselves.,Tea.,Milk,Maths.,This question is unanswerable.,August 5th.,A bike.,He helped the traffic police at a crossroad.,He did community work.,He took drugs with some friends.,The film You Are the Apple of My Eye.,Neither easy nor difficult,Sometimes,Sometimes,Sometimes,About half the time,Hindrance / It slowed me down,"The questions were mostly specific, often the answer was just in the text, and the questions were often gramatically correct","Some questions were vague, some questions were identical, some questions had the same answer multiple times",Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,"It takes away a lot of time for teachers, it can also help students by generating endless quizes to practice, and can unlock all the texts on the internet","Using all texts on the internet might also come with risks so safeguards need to be in place to prevent harmful language. I think as we currently stand, there still needs to be a human to check the texts and answers to make sure that it is all correct and questions are answerable",
Because her family was very poor.,Excited.,She disappeared when she was getting her bike.,This question is unanswerable.,This question is unanswerable.,This question is unanswerable.,The future is uncertain.,make different facial expressions,This question is unanswerable.,Connecting with native speakers.,The educational work.,75,This question is unanswerable.,This question is unanswerable.,He has serious doubts about it.,This question is unanswerable.,They had to wait a long time and play catch-up when checking in.,It took a long time to open.,This question is unanswerable.,Spending much time on Facebook affected her study,This question is unanswerable.,This question is unanswerable.,This question is unanswerable.,Going to see a doctor.,Planets can receive heat generated deep inside the planet.,This question is unanswerable.,Air movements in the earth's atmosphere.,The rock becomes unclear.,A book.,This question is unanswerable.,This question is unanswerable.,Milk,Maths.,This question is unanswerable.,August 5th.,A bike.,He helped the traffic police at a crossroad.,He did community work.,He took drugs with some friends.,The film You Are the Apple of My Eye.,Neither easy nor difficult,About half the time,Sometimes,Never,Never,Hindrance / It slowed me down,Not superficial...,"Not always answerable, too vague, ",Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,"Possbility to bring higher level education to more people easily,...","Bias in data, even more than human bias of teachers currently",
Because her family was very poor.,This question is unanswerable.,She disappeared from the spot where she was playing.,He and his friends were helping his neighbor moving a couch.,Byron Bay and Sydney,This question is unanswerable.,The teachers will be replaced by robots.,provide feedback to students in less time,A language learning environment.,Connecting with native speakers.,The educational work.,150,The Australian government tries to make immigrants feel at home.,Its beautiful beaches.,He is strongly against it.,Rates of death from illnesses have risen due to global warming.,They had to wait a long time and play catch-up when checking in.,This question is unanswerable.,About 65% of them.,Spending much time on Facebook affected her study,China allows climbers of any age to climb Mt. Everest.,To make a necklace with a piece of rock from the top of the world.,A medical condition.,Going to see a doctor.,Planets can receive heat generated deep inside the planet.,Water will exist underground as long as the planet is not too hot or too cold.,The earth's atmosphere.,The rock becomes unclear.,A book.,Because it is a way to relax themselves.,Tea.,Milk,Maths.,Because he made him feel at home.,August 5th.,A bike.,He helped the traffic police at a crossroad.,He did community work.,He took drugs with some friends.,The film You Are the Apple of My Eye.,Somewhat difficult,Most of the time,Sometimes,Sometimes,Sometimes,Not bothered / Also human tests have imperfect quizzes,Releative clear stories compared to the human generated ones.,"The answer often contained the same words as the text, to easy to search.",Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,,,Quizz was a bit too long
Because her family was very poor.,This question is unanswerable.,This question is unanswerable.,He and his friends were helping his neighbor moving a couch.,This question is unanswerable.,You can visit the Daintree Rainforest and the Great Barrier Reef.,The future is uncertain.,provide feedback to students in less time,This question is unanswerable.,Connecting with native speakers.,The measurements.,This question is unanswerable.,The Australian government tries to make immigrants feel at home.,This question is unanswerable.,He has serious doubts about it.,Rates of death from illnesses have risen due to global warming.,This question is unanswerable.,This question is unanswerable.,About 65% of them.,Spending much time on Facebook affected her study,China allows climbers of any age to climb Mt. Everest.,To pick a small piece of rock from the top of the world and wear it in a necklace.,This question is unanswerable.,Going to see a doctor.,This question is unanswerable.,It must receive two sources of heat--heat direct from the star and heat generated deep inside the planet.,Air movements in the earth's atmosphere.,The rock becomes unclear.,A book.,Because it is a way to relax themselves.,Tea.,Milk,Maths.,This question is unanswerable.,August 5th.,A bike.,He helped the traffic police at a crossroad.,He did community work.,He took drugs with some friends.,The film You Are the Apple of My Eye.,Extremely easy,About half the time,About half the time,Never,Most of the time,Hindrance / It slowed me down,"Easy, quick and low cost to make","High chance of questions that dont make sense, the AI does not take into account what is the key lesson that the student should be tested on, it just replicates the tests it was trained on. Teachers have better insight in what they want the test to test.",Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,"There are various risks involved, these should be studied thoroughly. It might reduce the work teachers need to do. It might help students prepare for tests ","Yes, it can be hard to make sure that an AI tests the right knowledge. It is also hard to determine what tests are good and which are not (in terms of what data to train on), prevent racism or other things that might occur in tests created by humans.","If you want me to give 3 reasons, then give me a textarea not a textfield"
Because her family was very poor.,This question is unanswerable.,She disappeared when she was getting her bike.,He and his friends were helping his neighbor moving a couch.,This question is unanswerable.,You can visit the Daintree Rainforest and the Great Barrier Reef.,The future is uncertain.,This question is unanswerable.,A language learning environment.,Connecting with native speakers.,The educational work.,150,This question is unanswerable.,This question is unanswerable.,He is strongly against it.,Rates of death from illnesses have risen due to global warming.,They had to wait a long time and play catch-up when checking in.,It was not well equipped.,This question is unanswerable.,Spending much time on Facebook affected her study,This question is unanswerable.,To pick a small piece of rock from the top of the world and wear it in a necklace.,This question is unanswerable.,Going to see a doctor.,Planets can receive heat generated deep inside the planet.,This question is unanswerable.,Air movements in the earth's atmosphere.,The rock becomes unclear.,A book.,This question is unanswerable.,This question is unanswerable.,Milk,Maths.,This question is unanswerable.,August 5th.,A bike.,He helped the traffic police at a crossroad.,This question is unanswerable.,He took drugs with some friends.,This question is unanswerable.,Neither easy nor difficult,Most of the time,Sometimes,Sometimes,Sometimes,Disruptive / I got very confused,"Cheap, no human intervention, scalable","Double answers, incorrect answers, no explanation",Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,"Makes it easier to provide education in less populated regions, makes it easier to create more educational content, might get better than humans at some point","Possibly no/incomplete explanation of the answer, bias in training data leads to bias in created content",I like turtles
This question is unanswerable.,This question is unanswerable.,She disappeared when she was getting her bike.,He and his friends were helping his neighbor moving a couch.,Byron Bay and Sydney,You can visit the Daintree Rainforest and the Great Barrier Reef.,This question is unanswerable.,provide feedback to students in less time,This question is unanswerable.,Connecting with native speakers.,The measurements.,This question is unanswerable.,This question is unanswerable.,This question is unanswerable.,He is strongly against it.,This question is unanswerable.,They had to wait a long time and play catch-up when checking in.,This question is unanswerable.,This question is unanswerable.,This question is unanswerable.,This question is unanswerable.,This question is unanswerable.,This question is unanswerable.,This question is unanswerable.,This question is unanswerable.,This question is unanswerable.,Air movements in the earth's atmosphere.,This question is unanswerable.,This question is unanswerable.,Because it is a way to relax themselves.,Tea.,This question is unanswerable.,Maths.,This question is unanswerable.,August 5th.,This question is unanswerable.,He helped the traffic police at a crossroad.,He did community work.,He took drugs with some friends.,The film You Are the Apple of My Eye.,Somewhat difficult,Sometimes,About half the time,Sometimes,Never,Hindrance / It slowed me down,"It’s easier to make, it’s faster and a lot of quizzes can be made in a short time period","The quizzes can have some errors, the AI might misunderstand the texts and when a lot of quizzes are generated it is hard to check them",Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,It can help improve the overall education and it can help teachers giving beter education,When the AI malfunctions it can have ethical or societal risks,No
Because her family was very poor.,This question is unanswerable.,She disappeared when she was getting her bike.,He and his friends were helping his neighbor moving a couch.,Byron Bay and Sydney,You can visit the Daintree Rainforest and the Great Barrier Reef.,The future is uncertain.,ask and answer questions in turns,A language learning environment.,Connecting with native speakers.,The early-warning system.,75,This question is unanswerable.,Its comfortable environment.,He has serious doubts about it.,Rates of death from illnesses have risen due to global warming.,This question is unanswerable.,This question is unanswerable.,About 83% of them.,Spending much time on Facebook affected her study,China allows climbers of any age to climb Mt. Everest.,This question is unanswerable.,Poor nutrition.,Going to see a doctor.,Planets can receive heat generated deep inside the planet.,This question is unanswerable.,Air movements in the earth's atmosphere.,This question is unanswerable.,A book.,Because it is a way to relax themselves.,Tea.,Milk,Maths.,This question is unanswerable.,August 5th.,A bike.,He helped the traffic police at a crossroad.,He did community work.,He took drugs with some friends.,The film You Are the Apple of My Eye.,Somewhat difficult,Most of the time,Sometimes,Never,Never,Not bothered / Also human tests have imperfect quizzes,"Fact based, efficiënt, high level questions","Limitation of interpretation, difficulty emotion based questions, need to review at beginning of learning cycle",Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Efficiency, accuracy, from reseach point of view",No,This exercise took much longer time than expected
Because her family was very poor.,Sorry.,She disappeared when she was getting her bike.,He and his friends were helping his neighbor moving a couch.,Byron Bay and Sydney,You can visit the Daintree Rainforest and the Great Barrier Reef.,The teachers will be replaced by robots.,This question is unanswerable.,Modern mobile technology.,Learning a new language.,The early-warning system.,This question is unanswerable.,Melbourne is the most culturally diverse city in the world.,Its comfortable environment.,He has serious doubts about it.,Rates of death from illnesses have risen due to global warming.,They were not familiar with the new systems in the building.,It was not well equipped.,About 65% of them.,Spending much time on Facebook affected her study,There were more local guides on the Chinese side.,To climb Mount Everest by himself.,A medical condition.,Going to see a doctor.,Planets can have their surface water locked away as ice.,Water will exist underground as long as the planet is not too hot or too cold.,The earth's atmosphere.,The rock gets broken.,Games.,This question is unanswerable.,Tea.,Milk,Maths.,Because he made him feel at home.,August 5th.,A bike.,He helped the traffic police at a crossroad.,He did community work.,He took drugs with some friends.,The film You Are the Apple of My Eye.,Somewhat difficult,Most of the time,Sometimes,Sometimes,Sometimes,Hindrance / It slowed me down,"Convenient, interesting,","Not able to read context, no proper language, same questions asked",Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,
Because her family was very poor.,Sorry.,This question is unanswerable.,He was helping the police hand out the photos of the missing girl.,Byron Bay and Sydney,You can see the Opera House and the Harbour Bridge.,The teachers will be replaced by robots.,ask and answer questions in turns,Cultural understanding.,Learning a new language.,The educational work.,75,The Australian government tries to make immigrants feel at home.,Its multicultural culture.,He is strongly against it.,Rates of death from illnesses have risen due to global warming.,It took too long to get through security to get into the building.,It was not well equipped.,About 83% of them.,Spending much time on Facebook affected her study,There were more local guides on the Chinese side.,To pick a small piece of rock from the top of the world and wear it in a necklace.,This question is unanswerable.,This question is unanswerable.,Planets can have their surface water locked away as ice.,It must receive two sources of heat--heat direct from the star and heat generated deep inside the planet.,Air movements in the earth's atmosphere.,The rock becomes unclear.,A book.,Because it is a way to relax themselves.,Tea.,Milk,Maths.,Because he explained numbers clearly.,August 5th.,A bike.,He stopped people from talking.,He helped others.,This question is unanswerable.,The film You Are the Apple of My Eye.,Somewhat difficult,Sometimes,Sometimes,Never,Never,Not bothered / Also human tests have imperfect quizzes,"understandable, clear, good",long and much,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,"fast, improvement, future","No, but I would always have the teacher check it.",the test was long
